country,year,gdp_growth
Indonesia,1997,4.7
Indonesia,1998,-13.127
Indonesia,1999,0.791
Indonesia,2000,4.979
Indonesia,2001,3.643
Indonesia,2002,4.499
Indonesia,2003,4.78
Indonesia,2004,5.031
Indonesia,2005,5.693
Indonesia,2006,5.501
Indonesia,2007,6.345
Indonesia,2008,7.442
Indonesia,2009,4.702
Indonesia,2010,6.378
Indonesia,2011,6.17
Indonesia,2012,6.03
Indonesia,2013,5.557
Indonesia,2014,5.007
Indonesia,2015,4.876
Indonesia,2016,5.033
Indonesia,2017,5.07
Indonesia,2018,5.174
Indonesia,2019,5.019
Kenya,1990,4.134
Kenya,1991,1.339
Kenya,1992,-1.08
Kenya,1993,-0.095
Kenya,1994,2.531
Kenya,1995,4.287
Kenya,1996,4.479
Kenya,1997,0.411
Kenya,1998,2.983
Kenya,1999,2.199
Kenya,2000,0.347
Kenya,2001,3.979
Kenya,2002,0.481
Kenya,2003,2.949
Kenya,2004,4.635
Kenya,2005,5.665
Kenya,2006,5.854
Kenya,2007,6.851
Kenya,2008,0.232
Kenya,2009,3.307
Kenya,2010,8.058
Kenya,2011,5.121
Kenya,2012,4.569
Kenya,2013,3.798
Kenya,2014,5.02
Kenya,2015,4.968
Kenya,2016,4.214
Kenya,2017,3.816
Kenya,2018,5.671
Kenya,2019,5.114
Malaysia,1990,9.007
Malaysia,1991,9.547
Malaysia,1992,8.886
Malaysia,1993,9.896
Malaysia,1994,9.211
Malaysia,1995,9.83
Malaysia,1996,10.002
Malaysia,1997,7.327
Malaysia,1998,-7.359
Malaysia,1999,6.131
Malaysia,2000,8.671
Malaysia,2001,0.518
Malaysia,2002,5.391
Malaysia,2003,5.789
Malaysia,2004,6.783
Malaysia,2005,4.976
Malaysia,2006,5.584
Malaysia,2007,6.299
Malaysia,2008,4.832
Malaysia,2009,-1.514
Malaysia,2010,7.528
Malaysia,2011,5.293
Malaysia,2012,5.474
Malaysia,2013,4.694
Malaysia,2014,6.007
Malaysia,2015,5.007
Malaysia,2016,4.45
Malaysia,2017,5.813
Malaysia,2018,4.843
Malaysia,2019,4.413
Mexico,1990,5.25
Mexico,1991,3.976
Mexico,1992,3.569
Mexico,1993,2.867
Mexico,1994,4.394
Mexico,1995,-5.91
Mexico,1996,6.218
Mexico,1997,7.199
Mexico,1998,6.185
Mexico,1999,2.755
Mexico,2000,5.029
Mexico,2001,-0.451
Mexico,2002,-0.237
Mexico,2003,1.186
Mexico,2004,3.565
Mexico,2005,2.113
Mexico,2006,4.805
Mexico,2007,2.078
Mexico,2008,0.943
Mexico,2009,-6.295
Mexico,2010,4.971
Mexico,2011,3.444
Mexico,2012,3.553
Mexico,2013,0.852
Mexico,2014,2.504
Mexico,2015,2.702
Mexico,2016,1.772
Mexico,2017,1.872
Mexico,2018,1.972
Mexico,2019,-0.393
Pakistan,1990,4.589
Pakistan,1991,5.127
Pakistan,1992,7.569
Pakistan,1993,2.097
Pakistan,1994,4.369
Pakistan,1995,5.062
Pakistan,1996,6.599
Pakistan,1997,1.703
Pakistan,1998,3.494
Pakistan,1999,4.182
Pakistan,2000,3.908
Pakistan,2001,3.638
Pakistan,2002,2.623
Pakistan,2003,5.167
Pakistan,2004,7.691
Pakistan,2005,7.997
Pakistan,2006,5.664
Pakistan,2007,5.111
Pakistan,2008,4.445
Pakistan,2009,1.063
Pakistan,2010,2.265
Pakistan,2011,3.204
Pakistan,2012,3.196
Pakistan,2013,3.856
Pakistan,2014,3.556
Pakistan,2015,3.812
Pakistan,2016,4.072
Pakistan,2017,4.609
Pakistan,2018,6.096
Pakistan,2019,3.12
Peru,1990,-5.09
Peru,1991,2.219
Peru,1992,-0.541
Peru,1993,5.244
Peru,1994,12.308
Peru,1995,7.411
Peru,1996,2.799
Peru,1997,6.476
Peru,1998,-0.392
Peru,1999,1.495
Peru,2000,2.695
Peru,2001,0.617
Peru,2002,5.454
Peru,2003,4.165
Peru,2004,4.959
Peru,2005,6.285
Peru,2006,7.529
Peru,2007,8.518
Peru,2008,9.127
Peru,2009,1.096
Peru,2010,8.33
Peru,2011,6.328
Peru,2012,6.14
Peru,2013,5.852
Peru,2014,2.384
Peru,2015,3.251
Peru,2016,3.954
Peru,2017,2.519
Peru,2018,3.969
Peru,2019,2.24
Philippines,1990,3.037
Philippines,1991,-0.436
Philippines,1992,0.418
Philippines,1993,2.182
Philippines,1994,4.374
Philippines,1995,4.625
Philippines,1996,5.86
Philippines,1997,5.186
Philippines,1998,-0.514
Philippines,1999,3.346
Philippines,2000,4.383
Philippines,2001,3.049
Philippines,2002,3.716
Philippines,2003,5.087
Philippines,2004,6.569
Philippines,2005,4.942
Philippines,2006,5.316
Philippines,2007,6.519
Philippines,2008,4.344
Philippines,2009,1.448
Philippines,2010,7.335
Philippines,2011,3.858
Philippines,2012,6.897
Philippines,2013,6.751
Philippines,2014,6.348
Philippines,2015,6.348
Philippines,2016,7.149
Philippines,2017,6.931
Philippines,2018,6.341
Philippines,2019,6.119
Senegal,1990,-0.676
Senegal,1991,2.556
Senegal,1992,1.243
Senegal,1993,1.311
Senegal,1994,-0.228
Senegal,1995,6.093
Senegal,1996,1.874
Senegal,1997,2.717
Senegal,1998,5.972
Senegal,1999,5.978
Senegal,2000,3.887
Senegal,2001,4.311
Senegal,2002,0.069
Senegal,2003,5.594
Senegal,2004,4.643
Senegal,2005,4.31
Senegal,2006,2.331
Senegal,2007,2.827
Senegal,2008,3.703
Senegal,2009,2.752
Senegal,2010,3.391
Senegal,2011,1.334
Senegal,2012,4.003
Senegal,2013,2.412
Senegal,2014,6.224
Senegal,2015,6.367
Senegal,2016,6.356
Senegal,2017,7.407
Senegal,2018,6.209
Senegal,2019,4.614
South Africa,1990,-0.318
South Africa,1991,-1.018
South Africa,1992,-2.137
South Africa,1993,1.234
South Africa,1994,3.2
South Africa,1995,3.1
South Africa,1996,4.3
South Africa,1997,2.6
South Africa,1998,0.5
South Africa,1999,2.4
South Africa,2000,4.2
South Africa,2001,2.7
South Africa,2002,3.7
South Africa,2003,2.949
South Africa,2004,4.555
South Africa,2005,5.277
South Africa,2006,5.604
South Africa,2007,5.36
South Africa,2008,3.191
South Africa,2009,-1.538
South Africa,2010,3.04
South Africa,2011,3.169
South Africa,2012,2.396
South Africa,2013,2.485
South Africa,2014,1.414
South Africa,2015,1.322
South Africa,2016,0.665
South Africa,2017,1.158
South Africa,2018,1.557
South Africa,2019,0.26
South Korea,1990,10.025
South Korea,1991,10.875
South Korea,1992,6.352
South Korea,1993,6.995
South Korea,1994,9.372
South Korea,1995,9.736
South Korea,1996,7.99
South Korea,1997,6.282
South Korea,1998,-4.939
South Korea,1999,11.617
South Korea,2000,9.202
South Korea,2001,4.726
South Korea,2002,7.744
South Korea,2003,3.075
South Korea,2004,5.184
South Korea,2005,4.358
South Korea,2006,5.245
South Korea,2007,5.842
South Korea,2008,3.004
South Korea,2009,0.82
South Korea,2010,6.982
South Korea,2011,3.688
South Korea,2012,2.548
South Korea,2013,3.291
South Korea,2014,3.215
South Korea,2015,2.92
South Korea,2016,3.172
South Korea,2017,3.433
South Korea,2018,3.176
South Korea,2019,2.314
Thailand,1990,11.623
Thailand,1991,8.403
Thailand,1992,9.23
Thailand,1993,8.676
Thailand,1994,7.997
Thailand,1995,8.12
Thailand,1996,5.652
Thailand,1997,-2.754
Thailand,1998,-7.634
Thailand,1999,4.572
Thailand,2000,4.455
Thailand,2001,3.444
Thailand,2002,6.149
Thailand,2003,7.189
Thailand,2004,6.289
Thailand,2005,4.188
Thailand,2006,4.968
Thailand,2007,5.435
Thailand,2008,1.726
Thailand,2009,-0.691
Thailand,2010,7.513
Thailand,2011,0.84
Thailand,2012,7.243
Thailand,2013,2.687
Thailand,2014,0.984
Thailand,2015,3.134
Thailand,2016,3.435
Thailand,2017,4.178
Thailand,2018,4.223
Thailand,2019,2.115
Turkey,1990,9.255
Turkey,1991,0.926
Turkey,1992,5.984
Turkey,1993,8.042
Turkey,1994,-5.456
Turkey,1995,7.19
Turkey,1996,7.007
Turkey,1997,7.528
Turkey,1998,3.092
Turkey,1999,-3.053
Turkey,2000,6.985
Turkey,2001,-5.459
Turkey,2002,6.436
Turkey,2003,5.799
Turkey,2004,9.925
Turkey,2005,9.112
Turkey,2006,7.068
Turkey,2007,5.108
Turkey,2008,0.92
Turkey,2009,-4.883
Turkey,2010,8.542
Turkey,2011,10.98
Turkey,2012,4.808
Turkey,2013,8.488
Turkey,2014,4.601
Turkey,2015,5.806
Turkey,2016,3.324
Turkey,2017,7.826
Turkey,2018,3.468
Turkey,2019,1.302
