country,year,gds_pct_gdp
Indonesia,2011,35.5
Indonesia,2010,34.8
Indonesia,2009,31.7
Indonesia,2008,31.0
Indonesia,2007,28.1
Indonesia,2006,28.7
Indonesia,2005,27.5
Indonesia,2004,24.9
Indonesia,2003,23.7
Indonesia,2002,25.1
Indonesia,2001,30.0
Indonesia,2000,31.8
Indonesia,1999,19.5
Indonesia,1998,26.5
Indonesia,1997,31.5
Indonesia,1996,30.1
Indonesia,1995,30.6
Indonesia,1994,32.2
Indonesia,1993,32.5
Indonesia,1992,27.6
Indonesia,1991,26.6
Indonesia,1990,27.0
Kenya,2019,10.4
Kenya,2018,10.5
Kenya,2017,9.8
Kenya,2016,11.0
Kenya,2015,11.8
Kenya,2014,12.2
Kenya,2013,11.7
Kenya,2012,12.5
Kenya,2011,11.3
Kenya,2010,14.2
Kenya,2009,14.0
Kenya,2008,9.0
Kenya,2007,10.5
Kenya,2006,9.4
Kenya,2005,7.2
Kenya,2004,6.6
Kenya,2003,4.7
Kenya,2002,4.3
Kenya,2001,4.5
Kenya,2000,6.7
Kenya,1999,5.7
Kenya,1998,6.1
Kenya,1997,7.3
Kenya,1996,8.7
Kenya,1995,15.9
Kenya,1994,22.4
Kenya,1993,22.4
Kenya,1992,17.0
Kenya,1991,19.7
Kenya,1990,19.0
Malaysia,2019,28.6
Malaysia,2018,30.6
Malaysia,2017,32.4
Malaysia,2016,32.6
Malaysia,2015,33.0
Malaysia,2014,34.3
Malaysia,2013,34.5
Malaysia,2012,36.5
Malaysia,2011,38.8
Malaysia,2010,39.3
Malaysia,2009,38.1
Malaysia,2008,43.8
Malaysia,2007,43.3
Malaysia,2006,44.5
Malaysia,2005,44.3
Malaysia,2004,43.4
Malaysia,2003,42.5
Malaysia,2002,42.0
Malaysia,2001,41.8
Malaysia,2000,46.1
Malaysia,1999,47.4
Malaysia,1998,48.7
Malaysia,1997,43.9
Malaysia,1996,42.9
Malaysia,1995,39.7
Malaysia,1994,39.6
Malaysia,1993,39.1
Malaysia,1992,36.7
Malaysia,1991,34.1
Malaysia,1990,34.4
Mexico,2019,21.8
Mexico,2018,21.4
Mexico,2017,20.5
Mexico,2016,19.5
Mexico,2015,18.9
Mexico,2014,17.4
Mexico,2013,17.5
Mexico,2012,19.4
Mexico,2011,18.8
Mexico,2010,18.2
Mexico,2009,19.5
Mexico,2008,19.5
Mexico,2007,20.7
Mexico,2006,20.8
Mexico,2005,18.7
Mexico,2004,20.1
Mexico,2003,18.9
Mexico,2002,20.5
Mexico,2001,21.4
Mexico,2000,22.0
Mexico,1999,23.6
Mexico,1998,23.9
Mexico,1997,23.3
Mexico,1996,23.5
Mexico,1995,23.2
Mexico,1994,20.8
Mexico,1993,20.3
Mexico,1992,18.2
Mexico,1991,20.1
Mexico,1990,21.6
Pakistan,2019,5.4
Pakistan,2018,6.6
Pakistan,2017,7.3
Pakistan,2016,8.7
Pakistan,2015,9.1
Pakistan,2014,7.8
Pakistan,2013,8.4
Pakistan,2012,7.6
Pakistan,2011,9.2
